month_from_start,prediction
0,0.28136223554611206
1,0.27999481558799744
2,0.27585944533348083
3,0.28606683015823364
4,0.28209388256073
5,0.2747074365615845
6,0.28187406063079834
7,0.2741732597351074
8,0.2877713143825531
9,0.28203484416007996
10,0.2798233926296234
11,0.27851343154907227
12,0.28041747212409973
13,0.28215688467025757
14,0.2750600278377533
15,0.294193297624588
16,0.2822675108909607
17,0.27089574933052063
18,0.2800575792789459
19,0.27028730511665344
20,0.28827378153800964
21,0.2742414176464081
22,0.2769724428653717
23,0.281806081533432
24,0.2801681458950043
25,0.27990326285362244
26,0.27841463685035706
27,0.27725663781166077
28,0.27806827425956726
29,0.2853527069091797
30,0.2794472575187683
31,0.2882899045944214
32,0.27474164962768555
33,0.2778458595275879
34,0.27816903591156006
35,0.27909189462661743
36,0.28013598918914795
37,0.28268927335739136
38,0.28180935978889465
39,0.2741846442222595
40,0.27848684787750244
41,0.2698225975036621
42,0.2807532548904419
43,0.28027331829071045
44,0.27971091866493225
45,0.2806563675403595
46,0.2786129415035248
47,0.27778372168540955
48,0.2796793580055237
49,0.2768074572086334
50,0.27787694334983826
51,0.2846362292766571
52,0.2814643383026123
53,0.27370327711105347
54,0.28036701679229736
55,0.2757300138473511
56,0.28192639350891113
57,0.2803049087524414
58,0.27854424715042114
59,0.27930086851119995
